,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
46,Ilulissat,75,GL,1547347800,52,69.22,-51.1,-7.61,4.7
47,Ushuaia,75,AR,1547348400,70,-54.81,-68.31,44.6,28.86
48,Narsaq,80,GL,1547347800,84,60.91,-46.05,32.0,8.05
49,Caraga,80,PH,1547351103,96,9.0,125.74,76.32,4.88
50,Ponta do Sol,32,BR,1547351105,88,-20.63,-46.0,67.23,3.38
51,Pandan,92,PH,1547351105,100,11.72,122.09,77.22,17.63
52,Clinton,20,US,1547349840,93,30.87,-91.02,60.08,6.93
53,Galveston,90,US,1547350500,85,40.58,-86.19,30.2,17.22
54,Puerto Ayora,20,EC,1547350971,99,-0.74,-90.35,76.68,10.54
55,Palmer,75,US,1547349180,83,61.6,-149.11,14.0,4.7
56,Qostanay,90,KZ,1547348400,92,53.17,63.58,17.6,22.37
57,Kargil,68,PK,1547351126,75,34.56,76.13,-1.09,0.85
58,Cranbrook,90,CA,1547348400,92,49.51,-115.76,30.2,2.24
59,Peto,0,MX,1547350846,57,20.13,-88.92,71.73,5.99
60,Nikolskoye,75,RU,1547348400,92,59.7,30.79,21.2,8.95
61,Masvingo,8,ZW,1547351152,94,-20.08,30.83,62.46,3.04
62,Huanren,0,CN,1547351152,66,41.26,125.37,29.16,2.75
63,Lebu,0,ET,1547350977,53,8.96,38.73,30.06,2.98
64,Atuona,68,PF,1547351152,100,-9.8,-139.03,80.19,15.84
65,Kidal,36,ML,1547351152,15,18.44,1.41,53.37,9.8
66,Ust-Omchug,68,RU,1547351153,52,61.13,149.63,-19.72,3.27
67,Norman Wells,40,CA,1547348400,65,65.28,-126.83,-36.41,6.93
68,Beringovskiy,32,RU,1547351153,92,63.05,179.32,-7.39,26.42
69,Oranjestad,20,AW,1547348400,74,12.52,-70.03,78.8,16.11
70,Hobyo,88,SO,1547351155,79,5.35,48.53,76.41,18.14
71,Kaitangata,100,NZ,1547351156,100,-46.28,169.85,56.07,5.06
72,New Norfolk,0,AU,1547348400,28,-42.78,147.06,71.6,14.99
73,Manubul,8,PH,1547351156,100,5.47,120.8,83.97,6.06
74,Zhangye,0,CN,1547351156,57,38.94,100.46,15.3,2.37
75,Dong Xoai,8,VN,1547351156,80,11.53,106.92,81.99,2.53
76,Kapaa,1,US,1547348160,68,22.08,-159.32,78.98,5.82
77,Longyearbyen,20,NO,1547347800,65,78.22,15.63,6.8,13.87
78,Nanortalik,92,GL,1547350636,94,60.14,-45.24,30.06,20.38
79,Grand Gaube,40,MU,1547348400,78,-20.01,57.66,80.6,11.41
80,Albany,75,US,1547349420,46,42.65,-73.75,17.96,5.82
81,Cidreira,64,BR,1547351157,90,-30.17,-50.22,73.62,13.94
82,Bluff,0,AU,1547351158,42,-23.58,149.07,91.98,10.92
83,Metro,68,ID,1547350862,100,-5.11,105.31,78.93,6.51
84,Nianzishan,8,CN,1547351158,53,47.51,122.88,12.96,4.99
85,Port Elizabeth,90,US,1547350140,92,39.31,-74.98,30.02,3.76
86,Bhatkal,0,IN,1547351158,100,13.97,74.57,78.57,6.89
87,Fairbanks,1,US,1547348280,72,64.84,-147.72,-18.94,4.32
88,Cape Town,40,ZA,1547348400,93,-33.93,18.42,62.6,10.29
89,Crowley,1,US,1547349300,65,30.21,-92.37,59.0,14.99
90,Lukovetskiy,90,RU,1547348400,100,64.29,41.92,23.0,6.71
91,Berlevag,88,NO,1547350977,100,70.86,29.09,27.72,4.09
92,Korgen,90,NO,1547349600,92,66.08,13.83,17.6,2.04
93,Ambilobe,44,MG,1547351161,92,-13.19,49.05,68.31,3.09
94,Mahebourg,40,MU,1547348400,78,-20.41,57.7,80.6,11.41
95,Avarua,75,CK,1547348400,83,-21.21,-159.78,80.6,10.29
96,Williston,90,US,1547350500,100,48.15,-103.62,19.4,3.36
97,Canalete,0,CO,1547351162,100,8.79,-76.24,78.3,9.53
98,Fukue,20,JP,1547350200,57,35.03,136.69,48.2,3.36
99,Sitka,20,US,1547351143,91,37.17,-99.65,28.26,9.31
100,Komsomolskiy,68,RU,1547351164,82,67.55,63.78,5.22,15.17
101,Ribeira Grande,32,PT,1547351164,97,38.52,-28.7,62.01,21.39
102,Taltal,0,CL,1547351164,98,-25.41,-70.49,53.46,1.81
103,Ust-Ilimsk,44,RU,1547351165,59,57.96,102.73,-6.94,7.85
104,Bethel,40,US,1547348160,82,60.79,-161.76,-4.01,17.22
105,Labuhan,76,ID,1547351166,97,-2.54,115.51,76.68,3.04
106,Margate,0,AU,1547348400,28,-43.03,147.26,71.6,14.99
107,Saint-Pierre,90,FR,1547348400,100,48.95,4.24,44.6,14.99
108,Hithadhoo,8,MV,1547351168,100,-0.6,73.08,81.36,5.21
109,Saint George,20,GR,1547347800,74,39.45,22.34,33.8,3.38
110,Barcelos,0,PT,1547348400,86,41.53,-8.62,37.4,4.7
111,Alofi,48,NU,1547348400,74,-19.06,-169.92,84.2,12.75
112,Broken Hill,0,AU,1547348400,15,-31.97,141.45,93.2,10.29
113,Krusevac,0,HR,1547350200,60,43.38,17.11,39.2,5.82
114,Bronnoysund,88,NO,1547349600,100,65.46,12.2,32.0,10.29
115,Port Moresby,40,PG,1547348400,66,-9.47,147.16,87.8,11.41
116,Sao Filipe,20,CV,1547350747,100,14.9,-24.5,71.28,9.08
117,Saint-Philippe,1,CA,1547350500,87,45.36,-73.48,3.2,2.98
118,Nemuro,20,JP,1547348400,58,43.32,145.57,24.8,4.7
119,Santa Vitoria do Palmar,88,BR,1547351172,90,-33.52,-53.37,70.2,12.03
120,Iqaluit,5,CA,1547348400,67,63.75,-68.52,-23.81,14.99
121,La Ronge,75,CA,1547348400,79,55.1,-105.3,19.4,5.82
122,Nome,1,US,1547349300,64,30.04,-94.42,53.06,11.41
123,Mutum,32,BR,1547351172,93,-19.82,-41.44,68.58,4.32
124,Pevek,0,RU,1547351173,71,69.7,170.27,-23.68,4.72
125,Karratha,8,AU,1547351173,15,-20.74,116.85,108.54,10.54
126,Cururupu,56,BR,1547351173,98,-1.82,-44.87,74.16,4.09
127,Georgetown,20,GY,1547348400,94,6.8,-58.16,71.6,4.7
128,Te Anau,32,NZ,1547351174,48,-45.41,167.72,61.74,7.34
129,Flinders,32,AU,1547351176,75,-34.58,150.85,76.59,6.11
130,Chimore,48,BO,1547351176,100,-16.98,-65.13,69.48,2.53
131,Richards Bay,0,ZA,1547351177,99,-28.77,32.06,65.07,2.86
132,Mar del Plata,0,AR,1547351177,48,-46.43,-67.52,55.98,5.99
133,Rocha,0,UY,1547351177,90,-34.48,-54.34,64.71,8.23
134,Victoria,75,BN,1547348400,74,5.28,115.24,86.0,4.7
135,Alta Floresta,88,BR,1547351178,94,-9.87,-56.08,74.97,2.04
136,Sandpoint,1,US,1547349000,78,48.28,-116.55,32.0,9.17
137,Hammerfest,36,NO,1547349600,80,70.66,23.68,30.2,21.92
138,Talnakh,68,RU,1547351179,46,69.49,88.39,-28.99,14.05
139,Shimoda,20,JP,1547348400,53,34.7,138.93,50.0,18.34
140,Cotonou,12,BJ,1547351180,92,6.37,2.43,76.05,3.71
141,Khyriv,76,UA,1547351023,93,49.53,22.85,28.17,12.82
142,Montauban,75,FR,1547348400,75,44.02,1.35,44.6,17.22
143,Pangody,68,RU,1547351134,67,65.85,74.49,-0.82,21.32
144,Porirua,92,NZ,1547350200,68,-41.14,174.84,69.8,19.46
145,Antofagasta,20,CL,1547348400,82,-23.65,-70.4,64.4,10.29
146,Faanui,92,PF,1547350783,100,-16.48,-151.75,82.44,22.32
147,Pimentel,92,BR,1547351182,100,-3.7,-45.5,71.46,2.71
148,Ajdabiya,92,LY,1547351182,94,30.75,20.22,50.13,14.56
149,Abha,0,SA,1547348400,87,18.22,42.5,53.6,9.17
150,Luderitz,12,NA,1547351184,90,-26.65,15.16,59.85,4.76
151,Bambanglipuro,8,ID,1547351185,86,-7.95,110.28,83.34,4.27
152,Provideniya,8,RU,1547351185,100,64.42,-173.23,-9.91,20.2
153,Gorontalo,12,ID,1547351186,65,0.54,123.06,86.85,2.19
154,Touros,40,BR,1547348400,88,-5.2,-35.46,77.0,2.24
155,Mayo,20,CA,1547348400,75,63.59,-135.9,-18.41,2.53
156,Goderich,24,CA,1547351190,88,43.74,-81.71,14.85,11.14
157,Tiksi,24,RU,1547351190,48,71.64,128.87,-29.44,3.83
158,Bandarbeyla,64,SO,1547351190,100,9.49,50.81,76.95,19.42
159,Douglas,90,US,1547348160,95,58.28,-134.39,35.06,3.38
160,Broome,80,GB,1547349600,81,52.47,1.45,51.8,20.8
161,Moldava nad Bodvou,90,SK,1547350200,92,48.61,21.0,26.6,3.36
162,Caarapo,20,BR,1547351191,66,-22.63,-54.82,79.74,4.54
163,Oktyabrskoye,0,RU,1547348400,74,56.73,85.44,-22.01,4.47
164,Aripuana,32,BR,1547351195,93,-9.17,-60.63,75.51,0.96
165,Kapuskasing,5,CA,1547348400,75,49.42,-82.43,-20.21,3.36
166,Eirunepe,44,BR,1547351195,96,-6.66,-69.87,72.81,2.08
167,Prieska,0,ZA,1547351196,79,-29.67,22.74,55.35,4.05
168,Moron de la Frontera,0,ES,1547348400,73,37.12,-5.45,39.2,3.36
169,Mazatlan,5,MX,1547347440,28,23.22,-106.42,80.6,4.7
170,Forbes,36,AU,1547351197,70,-33.38,148.01,89.64,7.9
171,Ostrovnoy,64,RU,1547351197,90,68.05,39.51,20.34,10.76
172,Gat,0,SN,1547348400,88,14.69,-16.54,68.0,13.87
173,Port Hawkesbury,90,CA,1547348760,84,45.62,-61.36,8.6,11.41
174,Two Rivers,90,US,1547348160,78,44.15,-87.57,30.02,6.93
175,Tasiilaq,36,GL,1547347800,67,65.61,-37.64,17.6,1.12
176,Salinas,90,US,1547350200,81,36.67,-121.66,55.04,4.09
177,Chernyshevskiy,56,RU,1547351200,42,63.01,112.47,-14.14,4.09
178,Kodiak,90,US,1547350500,97,39.95,-94.76,32.0,13.87
179,Mareeba,8,AU,1547348400,62,-16.99,145.42,87.8,16.11
180,Dawei,0,MM,1547351200,65,14.07,98.19,83.07,2.48
181,Arraial do Cabo,0,BR,1547351201,90,-22.97,-42.02,76.5,13.27
182,Bambous Virieux,40,MU,1547348400,78,-20.34,57.76,80.6,11.41
183,Washington DC.,90,US,1547350500,88,38.9,-77.04,30.92,3.83
184,Coquimbo,0,CL,1547348400,87,-29.95,-71.34,60.8,4.7
185,Huilong,92,CN,1547351204,96,28.89,110.18,38.16,3.09
186,Ketchikan,90,US,1547350200,81,55.34,-131.65,48.92,10.29
187,Petropavlovsk-Kamchatskiy,76,RU,1547348400,54,53.05,158.65,28.4,4.47
188,Colares,0,PT,1547348400,86,38.8,-9.45,41.0,3.36
189,Padang,20,ID,1547348400,74,-0.92,100.36,86.0,3.36
190,Jackson,90,US,1547350500,100,35.61,-88.82,50.0,4.7
191,Lompoc,1,US,1547349300,89,34.64,-120.46,55.04,2.75
192,Belgrade,40,RS,1547350200,86,44.82,20.46,33.8,8.05
193,Vallenar,0,CL,1547351206,90,-28.58,-70.76,53.01,2.19
194,Los Llanos de Aridane,0,ES,1547348400,72,28.66,-17.92,59.0,8.05
195,Ponta Delgada,75,PT,1547348400,72,37.73,-25.67,59.0,11.41
196,Fortuna,0,ES,1547348400,64,38.18,-1.13,41.0,8.05
197,Sidhauli,0,IN,1547346600,87,27.28,80.84,50.0,2.24
198,Constitucion,5,MX,1547347380,43,23.99,-104.67,55.4,9.17
199,Esperance,20,TT,1547348400,88,10.24,-61.45,73.4,5.99
200,Cherskiy,44,RU,1547351209,52,68.75,161.3,-17.65,1.81
201,Mwene-Ditu,48,CD,1547351210,99,-7.01,23.45,66.78,6.33
202,Linxia,44,CN,1547351211,41,35.6,103.21,20.79,3.53
203,Necochea,76,AR,1547351212,95,-38.55,-58.74,64.08,9.57
204,Naberera,0,TZ,1547351144,86,-4.2,36.93,62.82,5.5
205,Tambun,75,MY,1547348400,62,4.62,101.14,86.0,9.17
206,Harper,1,US,1547350500,73,30.3,-99.24,43.7,8.12
207,Lasa,75,CY,1547348400,62,34.92,32.53,57.2,13.87
208,Caraballeda,20,VE,1547348400,78,10.61,-66.85,77.0,12.15
209,Xuzhou,0,CN,1547351214,78,34.27,117.18,45.54,2.98
210,Saldanha,0,PT,1547351214,79,41.42,-6.55,18.81,3.09
211,Moussoro,0,TD,1547351214,33,13.64,16.49,61.02,11.59
212,La Peca,48,PE,1547351216,96,-5.61,-78.44,64.8,1.7
213,Namatanai,88,PG,1547351216,100,-3.66,152.44,82.89,17.47
214,Meulaboh,56,ID,1547351216,100,4.14,96.13,79.56,4.5
215,Hai Duong,90,VN,1547348400,88,20.94,106.32,69.8,4.7
216,Hilo,40,US,1547347980,66,19.71,-155.08,75.02,6.93
217,Dauriya,12,RU,1547351219,54,49.93,116.85,-1.72,3.87
218,Xuddur,0,SO,1547351220,75,4.12,43.89,64.71,12.1
219,Zlitan,92,LY,1547351220,100,32.47,14.57,49.32,16.8
220,Beloha,80,MG,1547351222,94,-25.17,45.06,72.63,3.71
221,Hecun,8,CN,1547351222,80,29.94,119.31,44.46,3.6
222,Acajutla,0,SV,1547351090,86,13.59,-89.83,71.73,2.53
223,Kota Kinabalu,75,MY,1547348400,66,5.98,116.07,89.6,4.7
224,San Cristobal,90,EC,1547348400,100,-0.39,-78.55,55.4,3.36
225,Nirmal,0,IN,1547351229,81,19.09,78.35,66.06,6.06
226,Phuthaditjhaba,0,ZA,1547351229,64,-28.53,28.82,41.31,2.37
227,Bredasdorp,24,ZA,1547348400,67,-34.53,20.04,62.6,9.17
228,Mongo,12,CF,1547351229,82,4.83,22.92,70.29,2.08
229,Xingyi,0,CN,1547351230,66,24.19,102.82,60.66,3.49
230,Chokurdakh,80,RU,1547351230,37,70.62,147.9,-24.22,8.23
231,Mahon,75,IE,1547350200,87,51.89,-8.4,46.4,12.75
232,Castro,0,CL,1547348400,93,-42.48,-73.76,42.8,5.82
233,Kolokani,8,ML,1547351239,30,13.58,-8.03,64.8,9.31
234,Jalu,0,LY,1547351239,64,29.03,21.55,47.43,17.4
235,Atar,0,MR,1547351243,27,20.52,-13.05,51.93,7.63
236,Ancud,48,CL,1547348400,93,-41.87,-73.83,42.8,5.82
237,Khomutovo,80,RU,1547351244,84,52.85,37.45,17.82,11.92
238,Roald,92,NO,1547349600,86,62.58,6.12,41.0,14.99
239,Airai,12,TL,1547351052,51,-8.93,125.41,87.93,1.97
240,Anchorage,90,US,1547349180,89,61.22,-149.89,14.0,3.36
241,Gunzenhausen,90,DE,1547349900,100,49.11,10.75,39.2,13.87
242,Nelson Bay,40,AU,1547348400,65,-32.72,152.14,78.8,16.11
243,Kyabe,8,TD,1547351246,54,9.45,18.94,62.73,2.71
244,Pangnirtung,8,CA,1547351047,58,66.15,-65.72,-32.86,3.04
245,Imeni Poliny Osipenko,64,RU,1547351247,73,52.42,136.49,-10.81,3.83
246,Puerto Leguizamo,36,CO,1547351249,95,-0.19,-74.78,73.8,2.3
247,Kavieng,48,PG,1547350990,100,-2.57,150.8,82.98,11.77
248,Taksimo,32,RU,1547351249,51,56.36,114.84,-19.63,0.51
249,Omsukchan,56,RU,1547351251,77,62.53,155.8,-9.19,3.31
250,Saint Anthony,1,US,1547348160,83,43.97,-111.68,10.04,6.93
251,Awash,0,ET,1547351252,75,8.99,40.17,45.36,2.3
252,Ferme-Neuve,0,CA,1547351253,65,46.7,-75.45,-8.74,4.54
253,Emerald,0,AU,1547348400,26,-23.53,148.16,91.4,16.11
254,Lorengau,76,PG,1547351136,99,-2.02,147.27,83.43,13.44
255,Paamiut,92,GL,1547351138,97,61.99,-49.67,32.49,23.96
256,Jimeta,12,NG,1547351259,72,9.28,12.44,60.21,2.04
257,Elizabeth City,90,US,1547350500,95,36.3,-76.22,42.08,7.56
258,Vagay,80,RU,1547351264,77,57.94,69.02,12.96,12.88
259,Taoudenni,0,ML,1547351265,28,22.68,-3.98,45.72,13.6
260,Inirida,24,CO,1547351267,95,3.87,-67.92,75.42,2.53
261,Tyup,0,KG,1547351267,90,42.73,78.36,-4.15,3.38
262,Sobolevo,88,RU,1547351267,91,54.43,31.9,26.28,8.34
263,Kahului,40,US,1547348160,62,20.89,-156.47,80.06,5.82
264,Ranong,75,TH,1547348400,74,9.96,98.62,86.0,4.7
265,Mocuba,80,MZ,1547351269,93,-16.84,36.99,74.16,5.21
266,Chernushka,92,RU,1547351272,91,56.5,56.08,31.77,16.84
267,Pochutla,0,MX,1547351272,100,15.74,-96.47,78.12,4.61
268,Nouadhibou,0,MR,1547351273,85,20.93,-17.03,58.68,6.29
269,Maragogi,92,BR,1547351273,100,-9.01,-35.22,73.89,5.1
270,Caravelas,76,BR,1547351273,100,-17.73,-39.27,80.19,12.33
271,Buala,24,SB,1547351275,78,-8.15,159.59,87.12,9.42
272,Srednekolymsk,80,RU,1547351275,31,67.46,153.71,-20.89,3.49
273,Am Timan,8,TD,1547351275,38,11.04,20.28,63.18,5.39
274,Matara,92,PE,1547351275,95,-13.74,-72.9,45.27,1.74
275,Avera,90,US,1547350500,93,33.19,-82.53,51.8,6.93
276,Bar Harbor,1,US,1547348160,72,44.39,-68.2,6.98,3.36
277,Nabire,48,ID,1547351279,92,-3.36,135.5,77.4,2.59
278,Banapur,0,IN,1547351280,93,19.78,85.18,67.14,4.88
279,Farafangana,80,MG,1547351280,100,-22.82,47.83,76.68,5.84
280,Inongo,32,CD,1547351283,98,-1.93,18.29,72.81,3.53
281,Codrington,40,AU,1547348400,45,-28.95,153.24,89.6,12.75
282,Oga,8,NG,1547351283,70,8.18,5.65,65.16,2.37
283,South Sioux City,90,US,1547349300,92,42.47,-96.41,28.94,6.93
284,Leshukonskoye,80,RU,1547351047,80,64.9,45.76,22.59,8.9
285,Muros,0,ES,1547348400,86,42.77,-9.06,41.0,3.36
286,Tungor,56,RU,1547351284,83,53.39,142.95,11.79,14.79
287,Tuatapere,8,NZ,1547351289,86,-46.13,167.69,58.68,10.87
288,Kruisfontein,0,ZA,1547351254,92,-34.0,24.73,60.66,6.89
289,Neryungri,24,RU,1547351289,41,56.66,124.71,-15.13,2.98
290,Poum,40,MK,1547350200,85,41.28,20.71,10.4,6.93
291,Zhigansk,32,RU,1547351260,54,66.77,123.37,-18.46,10.13
292,Ankang,0,CN,1547351290,61,32.73,108.99,36.0,1.97
293,Dikson,76,RU,1547351290,100,73.51,80.55,-14.86,31.9
294,Gasa,0,BT,1547351290,73,27.91,89.73,-1.0,3.53
295,Bogotol,12,RU,1547351291,27,56.21,89.53,-18.82,2.86
296,Ikongo,80,MG,1547351291,95,-21.88,47.44,66.96,2.3
297,Kawalu,0,ID,1547351292,82,-7.38,108.21,77.4,2.37
298,Kavaratti,0,IN,1547351292,100,10.57,72.64,81.54,10.54
299,Oakley,90,US,1547349300,100,39.13,-100.86,26.6,6.93
300,Zhanaozen,92,KZ,1547351020,88,43.35,52.85,34.47,6.89
301,Port Hardy,90,CA,1547348400,87,50.7,-127.42,46.4,19.46
302,Bekhtery,75,UA,1547350200,86,46.25,32.3,28.4,2.24
303,Saint-Joseph,20,FR,1547350200,80,43.56,6.97,48.2,5.82
304,Mao,48,DO,1547351297,94,19.55,-71.08,71.55,6.78
305,Dwarka,40,IN,1547348400,82,28.58,77.04,57.2,3.36
306,Kapiri Mposhi,92,ZM,1547351297,99,-13.97,28.68,62.46,7.29
307,Trinidad,0,UY,1547351190,84,-33.52,-56.9,66.51,9.35
308,Chuy,88,UY,1547350981,90,-33.69,-53.46,70.2,12.03
309,Alugan,88,PH,1547351298,93,12.22,125.48,80.46,14.12
310,Darnah,64,LY,1547351298,100,32.77,22.64,58.32,21.54
311,North Platte,90,US,1547347980,92,41.12,-100.77,24.98,5.5
312,Vichy,90,FR,1547348400,70,46.12,3.42,44.6,4.7
313,Dudinka,68,RU,1547351300,57,69.41,86.18,-19.63,29.21
314,Turan,0,RU,1547351300,25,52.15,93.92,-19.99,1.7
315,Kalmunai,88,LK,1547351300,100,7.42,81.82,73.89,5.77
316,Edd,0,ER,1547351301,54,13.93,41.69,52.47,4.38
317,Kampot,20,KH,1547348400,66,10.62,104.18,84.2,9.17
318,Mayumba,92,GA,1547351309,99,-3.44,10.65,79.2,4.83
319,Trebukhiv,90,UA,1547350200,86,50.48,30.9,30.2,4.47
320,Mayya,12,RU,1547350200,57,61.74,130.28,-43.61,4.47
321,Sinnamary,56,GF,1547351314,95,5.38,-52.96,78.57,10.36
322,Whyalla,0,AU,1547348400,26,-33.04,137.58,82.4,18.34
323,Portland,75,US,1547348160,57,45.52,-122.67,46.04,13.87
324,Lavrentiya,8,RU,1547351278,92,65.58,-170.99,-11.08,28.7
325,Fort Nelson,90,CA,1547348400,77,58.81,-122.69,1.4,6.93
326,Asyut,92,EG,1547351317,63,27.18,31.19,44.19,6.62
327,Ojinaga,1,US,1547350500,55,29.56,-104.41,52.88,10.29
328,Bilibino,20,RU,1547350967,0,68.06,166.44,-27.37,2.3
329,Kaeo,92,NZ,1547351318,51,-35.1,173.78,77.31,9.8
330,Marsa Matruh,0,EG,1547351318,72,31.35,27.25,47.88,18.86
331,Ouallam,0,NE,1547351319,29,14.32,2.08,61.83,10.36
332,Williamsport,90,US,1547348040,48,41.25,-77.0,28.04,3.36
333,Saint-Augustin,90,FR,1547348400,93,44.83,-0.61,50.0,6.93
334,Ngora,8,UG,1547351322,79,1.46,33.78,62.01,3.27
335,Camocim,80,BR,1547351322,100,-2.9,-40.84,72.72,2.71
336,Inuvik,20,CA,1547348400,66,68.36,-133.71,-32.81,3.36
337,San Patricio,8,PY,1547351295,95,-26.98,-56.83,74.88,3.87
338,Khash,0,IR,1547351328,69,28.22,61.21,22.05,2.53
339,Taganak,75,PH,1547348400,74,6.08,118.3,86.0,8.05
340,Correntina,24,BR,1547351328,84,-13.34,-44.63,71.82,3.2
341,Bandiagara,0,ML,1547348400,22,14.35,-3.61,69.8,13.87
342,Tual,80,ID,1547351253,100,-5.67,132.75,83.16,13.78
343,Dekar,0,BW,1547351335,52,-21.53,21.93,62.37,2.82
344,Kimbe,56,PG,1547351335,100,-5.56,150.15,81.36,6.06
345,Hasaki,20,JP,1547348400,45,35.73,140.83,48.2,14.99
346,Aberdeen,90,US,1547347980,91,45.47,-98.49,21.02,1.86
347,Puerto del Rosario,0,ES,1547348400,87,28.5,-13.86,60.8,5.82
348,Vanimo,48,PG,1547351337,100,-2.67,141.3,82.8,17.13
349,Port Jervis,90,US,1547351100,57,41.38,-74.69,30.2,5.82
350,Green River,90,US,1547348040,90,41.53,-109.47,15.08,3.36
351,Launceston,0,AU,1547348400,20,-41.43,147.14,77.0,8.05
352,Cabo San Lucas,20,MX,1547347380,82,22.89,-109.91,68.0,2.37
353,Rio Grande,40,BR,1547348400,94,-32.03,-52.1,71.6,4.7
354,Vila,0,IT,1547349600,73,45.18,8.4,41.0,2.24
355,San Vicente,20,SV,1547347800,78,13.64,-88.78,77.0,4.7
356,Puerto Ayacucho,92,CO,1547351339,74,5.66,-67.63,77.76,4.88
357,Lagoa,0,PT,1547348400,83,37.14,-8.45,48.2,5.82
358,Itarema,56,BR,1547351340,97,-2.92,-39.92,73.71,1.25
359,Rondonopolis,44,BR,1547351306,90,-16.46,-54.64,72.45,2.82
360,Morondava,76,MG,1547351340,100,-20.3,44.28,77.31,3.76
361,Aykhal,24,RU,1547351340,47,65.95,111.51,-30.25,2.86
362,Leningradskiy,20,RU,1547351298,100,69.38,178.42,-17.65,8.63
363,Bisira,0,PA,1547351341,90,8.52,-81.71,66.69,3.27
364,Flin Flon,64,CA,1547351341,83,54.77,-101.88,14.04,5.32
365,Dumas,0,IN,1547346600,87,21.09,72.71,57.2,7.56
366,El Bagre,68,CO,1547351342,68,7.6,-74.8,80.91,2.59
367,Deputatskiy,48,RU,1547351298,0,69.3,139.9,-31.69,2.82
368,Lazaro Cardenas,5,MX,1547347560,76,28.39,-105.62,46.4,3.36
369,Moissala,8,TD,1547351345,59,8.34,17.77,63.9,2.86
370,Oran,0,DZ,1547348400,86,35.7,-0.65,33.8,2.24
371,Torbay,90,CA,1547348400,92,47.66,-52.73,26.6,12.75
372,East London,88,ZA,1547350887,99,-33.02,27.91,72.81,7.07
373,Rach Gia,20,VN,1547348400,70,10.02,105.08,84.2,5.82
